SongName, DistinctWords, TotalWords, PercentageDistinct
All To Myself,83,276,30.07246376811594
Beautiful Crazy,84,210,40.0
Beer Never Broke My Heart,97,247,39.27125506072874
Eyes on You,123,326,37.73006134969325
GIRL,87,295,29.491525423728817
God_s Country,128,389,32.904884318766065
Good As You,79,264,29.924242424242426
Here Tonight,80,277,28.880866425992778
I Don_t Know About You,122,404,30.198019801980198
Knockin_ Boots,102,292,34.93150684931507
Look What God Gave Her,118,303,38.943894389438945
Love You Too Late,114,306,37.254901960784316
Meant to Be,103,360,28.61111111111111
Miss Me More,84,368,22.82608695652174
On My Way to You,94,233,40.343347639484975
One Man Band,115,314,36.624203821656046
One Thing Right,108,454,23.788546255506606
Prayed for You,104,291,35.738831615120276
Rearview Town,101,231,43.722943722943725
Rumor,118,303,38.943894389438945
She Got the Best of Me,87,242,35.9504132231405
Speechless,109,315,34.6031746031746
Talk You Out of It,133,369,36.043360433604335
Tequila,89,273,32.6007326007326
The Bones,90,319,28.213166144200624
The Git Up,106,568,18.661971830985916
The Ones That Didn_t Make it Back Home,110,329,33.43465045592705
This is It,110,281,39.14590747330961
What Happens in a Small Town,105,367,28.610354223433244
Whiskey Glasses,112,408,27.450980392156865
