SongName, DistinctWords, TotalWords, PercentageDistinct
A Lot,294,1060,27.735849056603772
Act Up,225,525,42.857142857142854
Better,102,370,27.56756756756757
Drip Too Hard,170,519,32.75529865125241
Envy Me,139,343,40.524781341107875
Going Bad,218,507,42.998027613412226
Goodbyes,149,387,38.50129198966408
Look Back At It,128,430,29.767441860465116
Middle Child,267,719,37.13490959666203
Mo Bamba,117,326,35.88957055214724
Money in the Grave,234,575,40.69565217391305
Money,205,623,32.90529695024077
Murder On My Mind,210,637,32.967032967032964
No Guidance,196,609,32.18390804597701
Old Town Road,105,308,34.090909090909086
Panini,85,212,40.09433962264151
Please Me,137,489,28.016359918200408
Pop Out,215,591,36.37901861252115
Pure Water,237,749,31.64218958611482
Ran$om,115,409,28.117359413202937
SICKO MODE,324,774,41.86046511627907
Suge,244,745,32.75167785234899
Sunflower,128,296,43.24324324324324
Talk,94,269,34.94423791821561
The London,245,645,37.98449612403101
Thotiana,95,418,22.727272727272727
Truth Hurts,161,429,37.52913752913753
Wake Up in the Sky,181,636,28.459119496855344
Wow.,159,402,39.55223880597015
ZEZE,259,754,34.350132625994696
